title,year,status,priority,owned,platforms,vr,rating,finished_year,hype,review,blog,tags,notes
.detuned,,not_interested,skip,,PS+ Premium,,,,,,,,
10 Classic SEGA Genesis Games,,not_interested,skip,yes,,no,,,,not_needed,,,
10 Second Ninja X,,not_interested,skip,no,PS4;PSV,no,,,,not_needed,,,
1000x resist,,not_interested,skip,no,,no,,,,,,,
1080° Snowboarding,,not_interested,skip,no,,no,,,,not_needed,,,
11-11 Memories Retold,2018,backlog,someday,no,,no,,,,,,emerytura,
18 Floors,,not_interested,skip,no,PSVR,,,,1,,,vr,
18 Wheels of Steel: Convoy,,not_interested,skip,no,Play,no,,,,not_needed,,,
1943,,not_interested,skip,no,,no,,,,not_needed,,,
198X,2019,not_interested,skip,no,,no,,,,not_needed,,,
2064: Read Only Memories,,not_interested,skip,no,PS4;PSV,no,,,,not_needed,,,
2084,,not_interested,skip,no,,no,,,,,,,
20XX,,not_interested,skip,no,Epic,no,,,,not_needed,,,
2Dark,,not_interested,skip,,PS+ Premium,,,,,,,,
2Xtreme,1996,not_interested,skip,,,,,,,,,można-olać,
3 Out of 10,2020,not_interested,skip,yes,Epic,no,,,,,,,
3 out of 10: Season Two,2021,not_interested,skip,yes,Epic,no,,,,,,,
300: March to Glory,,not_interested,skip,no,,no,,,,not_needed,,,
33 Immortals,,upcoming,,no,,no,,,,,,,
50 Cent: Blood on the Sand,,not_interested,skip,no,,no,,,,not_needed,,,
6 Degrees of Sabotage,,not_interested,skip,no,,no,,,,,,,
720°,,not_interested,skip,no,,no,,,,not_needed,,,
8-Bit Armies,,not_interested,skip,,PS+ Premium,,,,,,,,
868-HACK,,not_interested,skip,no,,no,,,,not_needed,,,
8Doors: Arum's Afterlife Adventure,,not_interested,skip,no,Prime Gaming,no,,,,,,,
9 Monkeys of Shaolin,,not_interested,skip,,PS+ Premium,,,,,,,,
99Vidas,,not_interested,skip,no,,no,,,,not_needed,,,
A Boy and His Blob,,not_interested,skip,no,,no,,,,not_needed,,,
A Farewell to Dragons,,not_interested,skip,no,Muve,no,,,,not_needed,,,
A Fisherman's Tale,2019,completed,,yes,PSVR,required,,2023,7,,,,
A Hat in Time,,not_interested,skip,no,,no,,,,not_needed,,,
A Mind Forever Voyaging,,not_interested,skip,no,,no,,,,not_needed,,,
A New Beginning,2010,not_interested,skip,no,,no,,,,,,,
A new beginning Odrodzenie,,not_interested,skip,no,CDA,no,,,,not_needed,,,
A Plague Tale Requiem,2022,completed,,no,Xbox Game Pass,no,,,,,yes,,
A Plague Tale: Innocence,2019,completed,,yes,PS5;Steam,no,,,,,yes,,
A Q*bert Rebooted Game,,not_interested,skip,no,,no,,,,not_needed,,,
A Quiet Place: The Road Ahead,,want_to_try,,no,,,,,,,,,
A Short Hike,,not_interested,skip,yes,Epic,no,,,,not_needed,,,
A Space for the Unbound,2023,not_interested,skip,,,,,,,,,można-olać,
A Story About My Uncle,2014,completed,,yes,Steam,no,,,,,yes,,
A Twisted Path to Renown,2024,backlog,someday,no,,,,,,,,emerytura,
A Vampyre Story,,not_interested,skip,no,CDA,no,,,,not_needed,,,
A Virus Named Tom,,not_interested,skip,no,PSV,no,,,,not_needed,,,
A Way Out,2018,completed,,yes,PS4,no,,,,,yes,,
A-Tech Cybernetic VR,,not_interested,skip,no,PSVR,,,,1,,,vr,
A.P.B.,,not_interested,skip,no,,no,,,,not_needed,,,
Aaero,2017,not_interested,skip,no,,no,,,,not_needed,,,
Aaru's Awakening,,not_interested,skip,no,PS4,no,,,,not_needed,,,
Abandon Ship,,not_interested,skip,yes,Amazon Prime,no,,,,not_needed,,,
Abiotic Factor,,want_to_try,,no,,,,,,,,,
Absolute Drift: Zen Edition,,not_interested,skip,yes,Epic,no,,,,not_needed,,,
Absolver,2017,backlog,someday,yes,PS4,no,,,,,,emerytura,
Abyss Odyssey,,not_interested,skip,no,,no,,,,not_needed,,,
Abzu,2016,played,,yes,Epic;PS4,no,,,,not_needed,,,
AC: Pirates!,,played,,yes,Android,no,,,,,,,
Accounting Plus,2017,backlog,,no,PSVR,yes,,,6,,,vr;fabuła,
Ace Combat 6: Fires of Liberation,,not_interested,skip,no,,no,,,,not_needed,,,
Ace Combat 7: Skies Unknown - (+ VR Mode),,completed,,yes,PSVR;PS+,optional,,,,,,,
Ace Combat Assault Horizon,,not_interested,skip,yes,Steam,no,,,,not_needed,,,
Ace of Seafood,,not_interested,skip,,PS+ Premium,,,,,,,,
Achilles: Legend Untold,,backlog,someday,no,,no,,,,,,emerytura,
Across the Grooves,,not_interested,skip,no,Amazon Prime,no,,,,,,,
ActRaiser,,not_interested,skip,no,,no,,,,not_needed,,,
Actual Sunlight,2014,completed,,yes,PSV,no,,,,,yes,,
Adios,2021,backlog,someday,no,Epic,no,,,,,,emerytura,
Adr1ft,2016,backlog,someday,yes,Steam,no,,,,not_needed,,emerytura,
Advance Wars,,not_interested,skip,no,,no,,,,not_needed,,,
Advance Wars 1+2: Re-Boot Camp,,not_interested,skip,no,,no,,,2,,,,
Advance Wars: Dual Strike,,not_interested,skip,no,,no,,,,not_needed,,,
Adventure,,not_interested,skip,no,,no,,,,not_needed,,,
Adventure Time: Pirates of the Enchiridion,,not_interested,skip,no,,no,,,,not_needed,,,
AEGIS DEFENDERS,,not_interested,skip,yes,Steam,no,,,,not_needed,,,
AER Memories of Old,2017,not_interested,skip,yes,Epic,no,,,,not_needed,,,
Afrika,,not_interested,skip,no,,no,,,,not_needed,,,
After the Fall,2021,limbo,,no,PSVR;PSVR2,yes,,,5,,,vr;brak-sprzętu,
After Us,,want_to_try,,no,,,,,,,,,
After Us,2023,not_interested,skip,,,,,,,,,można-olać,
Afterfall Insanity Extended Edition,2011,completed,,yes,PC;CDA,no,,,,done,yes,,
Aftermath,,upcoming,,no,,no,,,,,,,
Afterparty,2019,backlog,someday,no,,no,,,,,,emerytura,
Agains All Odds,,not_interested,skip,no,,no,,,,,,,
Agains the Storm,,want_to_try,,no,,,,,,,,,
Agatha Christie - The ABC Murders*,,not_interested,skip,,PS+ Premium,,,,,,,,
Age of Conan,2008,completed,,yes,PC,no,,,,done,yes,,
Age of Empires,,not_interested,skip,no,,no,,,,not_needed,,,
Age of Empires 4,,not_interested,skip,no,,no,,,,not_needed,,,
Age of Empires II,,played,,no,PC,no,,,,,,,
Age of Empires: Mythologies,,not_interested,skip,no,,no,,,,not_needed,,,
Age of Mythology,2002,not_interested,skip,no,,no,,,3,,,,
AGE OF WONDERS,,played,,yes,PC,no,,,,,,,
Age of Wonders 3,,not_interested,skip,no,Steam,no,,,,not_needed,,,
Age of Wonders 4,2023,backlog,someday,no,,no,,,5,,,emerytura,
Age of Wonders: Planetfall,,not_interested,skip,,PS+ Premium,,,,,,,,
Agents of Mayhem,,not_interested,skip,,PS+ Premium,,,,,,,,
Agony,,not_interested,skip,no,,no,,,,not_needed,,,
Aion,,played,,no,,no,,,,,,,
Air Conflicts: Pacific Carriers (PS4),,not_interested,skip,,PS+ Premium,,,,,,,,
Air Conflicts: Secret Wars*,,not_interested,skip,,PS+ Premium,,,,,,,,
Air Conflicts: Vietnam*,,not_interested,skip,,PS+ Premium,,,,,,,,
Airfix: Dogfighter,2000,played,,no,,,,,,,,,
Airline Tycoon,1999,played,,no,,,,,,,,,
Akalabeth: World of Doom,,not_interested,skip,yes,GOG,no,,,,not_needed,,,
Akiba's Beat*,,not_interested,skip,,PS+ Premium,,,,,,,,
AKIBA'S TRIP: Undead & Undressed *,,not_interested,skip,,PS+ Premium,,,,,,,,
Alan Wake (Remastered),2010,completed,,yes,Steam;Epic;PS5;PS4,no,,,,,yes,,
