title,source,source_id,source_slug,source_name,released,genres,metacritic,playtime,cover,score,checked
.detuned,igdb,239317,detuned,Detuned,2023-06-15,Adventure;Indie,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co7csd.jpg,1.00,2026-07-26
10 Classic SEGA Genesis Games,,,,,,,,,,0.00,2026-07-26
10 Second Ninja X,igdb,18686,10-second-ninja-x,10 Second Ninja X,2016-07-19,Fighting;Platform;Puzzle;Indie;Arcade,77,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1o34.jpg,1.00,2026-07-26
1000x resist,,,,,,,,,,0.00,2026-07-26
1080° Snowboarding,igdb,3328,1080-snowboarding,1080° Snowboarding,1998-02-28,Racing;Sport,70,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2f8m.jpg,1.00,2026-07-26
11-11 Memories Retold,igdb,103249,11-11-memories-retold,11-11: Memories Retold,2018-11-08,Adventure,74,,https://images.igdb.com/igdb/image/upload/t_cover_big/co28r9.jpg,1.00,2026-07-26
18 Floors,igdb,104939,18-floors,18 Floors,2018-07-03,Puzzle;Adventure;Indie,60,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1lzk.jpg,1.00,2026-07-26
18 Wheels of Steel: Convoy,igdb,31696,18-wheels-of-steel-convoy,18 Wheels of Steel: Convoy,2005-09-01,Racing;Real Time Strategy (RTS);Simulator,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co77nd.jpg,1.00,2026-07-26
1943,,,,Battlefield 1943,,,,,,0.40,2026-07-26
198X,igdb,100562,198x,198X,2019-06-20,Shooter;Racing;Role-playing (RPG);Hack and slash/Beat 'em up;Adventure;Indie;Arcade,70,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1m2h.jpg,1.00,2026-07-26
2064: Read Only Memories,igdb,13171,2064-read-only-memories,2064: Read Only Memories,2014-07-13,Point-and-click;Role-playing (RPG);Adventure;Indie;Visual Novel,83,,https://images.igdb.com/igdb/image/upload/t_cover_big/co3wwn.jpg,1.00,2026-07-26
2084,igdb,113154,2084,2084,2018-12-13,Shooter;Indie,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co54i9.jpg,1.00,2026-07-26
20XX,igdb,17828,20xx,20XX,2017-08-16,Shooter;Platform;Adventure;Indie;Arcade,75,,https://images.igdb.com/igdb/image/upload/t_cover_big/co22jc.jpg,1.00,2026-07-26
2Dark,igdb,26847,2dark,2Dark,2017-03-10,Adventure;Indie,59,,https://images.igdb.com/igdb/image/upload/t_cover_big/co22je.jpg,1.00,2026-07-26
2Xtreme,igdb,45105,2xtreme,2Xtreme,1996-10-31,Racing;Sport,,,https://images.igdb.com/igdb/image/upload/t_cover_big/coaapw.jpg,1.00,2026-07-26
3 Out of 10,,,,"3 out of 10: EP 5 - ""The Rig Is Up!""",,,,,,0.62,2026-07-26
3 out of 10: Season Two,igdb,145349,3-out-of-10-season-two,3 out of 10: Season Two,2021-04-08,Adventure,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2xk7.jpg,1.00,2026-07-26
